symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
EGFR	0.8292698311059319	No data	No data	0.933224960393101	No data	No data	No data	No data	No data	No data	0.8792793650608796	0.89979747617232	0.8517681792807411	0.8274613634158176	0.6415169547180812	No data	No data	No data	0.9946964041609129	No data	No data	1	1	1	1	1	1	0.5247950000000003	1	-0.7139547710976282	-0.9856076612666143	0	-1	-1	0	0.5	0
BRAF	0.8019671478753251	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	0.6612513946521403	0.8455809688534514	0.7866455651428372	0.9513974960387728	No data	No data	No data	No data	0.5997271114540418	No data	No data	1	1	0	1	1	1	0.6083550000000002	1	-0.932377275234418	-0.9693088027055469	0	-1	-1	0	-1	-1
KRAS	0.8003886728265591	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	0.8390711529535394	0.9066612367713315	0.547137717850459	0.9285669064556789	No data	No data	No data	No data	0.9807073716289341	No data	0.6827388537837831	1	0	0	1	1	0	0.5212749999999999	1	-0.9139547710976282	-0.9769115543146147	0	No data	-1	-0.6675525	-1	-1
STK11	0.7747187996860453	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7219178221638001	0.8917855750715972	0.19453785523571876	0.9513974960387728	No data	No data	No data	No data	0.9547501964570863	No data	No data	No data	0	0	1	1	0	0.5265599999999999	No data	-0.8335355763927192	-0.9517288755129946	0	-1	-1	0	-1	-1
ALK	0.769868694635861	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8921384454950539	No data	0.19453785523571876	0.9717353218761373	0.46945767148897405	No data	No data	No data	0.9106289321441597	No data	No data	1	1	0	1	1	1	0.3580249999999999	1	-0.6186431329288472	-0.8172185383760391	0	No data	-1	0	0.5	0.5
ERBB2	0.7567662076802342	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6037090559615403	0.2774082077424075	0.8077542733932408	0.9471757543886921	0.15198269940290526	No data	No data	No data	0.8837608327275682	No data	No data	1	1	0	1	1	1	0.38247	1	-0.6678433535576394	-0.9660855487877462	0	-1	No data	0	-1	-1
ROS1	0.754504598894159	0.3873158545480638	No data	No data	No data	No data	No data	No data	No data	No data	0.8105743968154947	No data	0.737973950007387	0.9285669064556789	No data	No data	No data	No data	0.44671329648476843	0.020558665682285194	No data	1	0	0	1	1	0	0.021784999999999853	0	0.04236072807501379	0	0	No data	-1	0	0.75	0.5
TP53	0.7422964934179282	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8010754781028131	0.9066612367713315	0.8372744141704624	No data	No data	No data	No data	No data	0.9723827572549192	No data	0.48479444522763265	0.75	0	0	1	1	0	0	No data	-0.7412024269167126	-0.9868348194278981	0	-1	-1	0	-1	-1
MET	0.7151953563766649	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7915765593901316	0.4403574581119549	No data	0.8897742701710087	0.4770568064591193	No data	No data	No data	0.8083069920206626	No data	0.32013635802227963	1	1	1	1	1	1	0.44604500000000014	1	-0.7445118587975731	-0.9472229089292411	0	-1	-1	0	0.5	0
RET	0.6862722871306738	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8512297689057718	No data	No data	0.9066612367713315	No data	No data	No data	No data	0.42287051469474013	No data	No data	1	1	0	1	1	1	0.16516999999999982	1	-0.9306122448979592	-0.9424668101284822	0	No data	-1	0	0.5	0
NRG1	0.6579997112263467	0.8088491879780553	No data	No data	No data	No data	No data	No data	No data	No data	0.7176960805137194	No data	No data	0.7599134970145264	No data	No data	No data	No data	0.23249976014397056	0.1102178536069869	No data	No data	0	1	0	0	0	0.41405999999999993	No data	-0.7980143408714837	-0.9720919566898253	0	No data	No data	0	0.5	0
RBM10	0.6518357800728358	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7556917553644457	0.8619599852027916	No data	No data	No data	No data	No data	No data	0.9601847218482382	No data	No data	No data	0	0	0	0	0	0.8064500000000002	No data	No data	-0.7255219842404322	0	No data	-1	0	-1	-1
KEAP1	0.6353488343837773	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7219178221638001	0.8436227431259361	No data	No data	No data	No data	No data	No data	0.9449275449030602	No data	No data	1	0	0	1	1	1	0.7035249999999997	1	-0.5757308328736901	-0.42133429310470233	0	No data	-1	0	0.5	-1
RB1	0.6199061975268902	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	0.7981975154122337	0.6092817549396469	No data	No data	No data	No data	No data	0.6145220228104349	No data	0.29934512474396224	No data	0	0	1	1	0	0.5258600000000001	No data	-0.93138444567016	-0.9719087860456268	0	No data	-1	0	-1	-1
EML4	0.6176371143739875	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8826395267823723	No data	No data	No data	0.46945767148897405	No data	No data	No data	0.7182994224932362	No data	No data	1	0	0	1	1	0	0.43425000000000014	1	-0.4650854936569222	-0.37346286206754703	0	No data	No data	0	-1	-1
TP63	0.5982842096970941	0.8386171631519598	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	0.4114753066685738	No data	0.27089396341573835	No data	0	0	0	0	0	0.8970599999999997	No data	-0.8902371759514617	-0.945781231084031	0	No data	-1	0	0.5	0
ATM	0.5873950875040583	0.5569986509418443	No data	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	0.7367015186266005	No data	No data	No data	No data	No data	No data	0.6185274877023329	No data	No data	No data	0	0	1	1	0	0.20974999999999966	1	-0.21092112520683948	-0.9367263302218387	0	-1	-1	0	-1	-1
ERBB4	0.5828932272872733	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7176960805137194	No data	No data	0.7599134970145264	0.15198269940290526	No data	No data	No data	0.15063862440993897	0.08845393105249086	No data	1	1	0	1	1	1	0.8662100000000003	No data	-0.8409266409266409	-0.8553760567810827	0	No data	-1	0	0.5	0
SMARCA4	0.5818323758053949	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7219178221638001	0.7547150637821338	No data	No data	No data	No data	No data	No data	0.8014851559917965	No data	0.32518218364245616	No data	0	0	1	1	0	0.8633899999999997	1	-0.9399889685603972	-0.9319223881807955	0	No data	-1	-0.3761375000000001	-1	-1
LRP1B	0.5789110759203189	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7915765593901316	0.5683122080203108	No data	No data	No data	No data	No data	No data	0.8374567491035415	No data	No data	No data	0	0	0	0	0	0.5825200000000003	No data	-0.7735245449531164	0	0	No data	-1	-0.0046749999999999405	0.5	0.5
PIK3CA	0.5688147613265605	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6433089926392973	0.7597287726730517	No data	No data	No data	No data	No data	No data	0.6795481356073327	No data	No data	1	0	0	1	1	1	0.9344549999999998	1	-0.9434087148372863	-0.9497310810501532	0	-1	-1	0	-1	-1
CDKN2A	0.5668398085239335	0.18401330486400141	No data	No data	No data	No data	No data	No data	No data	No data	0.6205960225618631	0.7419664184145702	No data	No data	No data	No data	No data	No data	0.9350075262265033	No data	0.37678031008974244	No data	0	0	0	0	0	0	No data	-0.29994484280198563	-0.7104814595785444	0	No data	-1	-0.21474249999999984	0.5	0
CTNNB1	0.5563779102836472	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7556917553644457	0.5655930482165853	No data	No data	No data	No data	No data	No data	0.6439081544532382	No data	0.3040261918855717	0.5	1	0	1	1	0	0.9936	No data	-0.9842250413678986	-0.9610337989605402	0	-1	-1	-0.12932249999999995	-1	-1
ARID1A	0.5513678656238444	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.565713381110814	0.7463081953177257	No data	No data	No data	No data	No data	No data	0.8649779077596854	No data	No data	No data	0	0	0	0	0	0.8183799999999998	No data	-0.9835631549917264	-0.9125117573906019	0	No data	-1	0	-1	-1
NTRK1	0.551348162477766	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	0.7599134970145264	No data	No data	No data	No data	0.20378627977723004	No data	No data	1	0	0	1	1	1	0.32789	1	-0.026585769442912355	-0.8612938282270538	0	-1	-1	0	0.5	0.5
KIF5B	0.5344506612823122	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8657525601820495	No data	No data	No data	No data	No data	No data	No data	0.2675639026181308	No data	No data	1	0	0	1	1	0	0.8546199999999999	No data	-0.759073359073359	-0.3854065181134503	0	No data	No data	-0.38733000000000006	-1	-1
U2AF1	0.530032872821657	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	0.7176315168291922	No data	No data	No data	No data	No data	No data	0.5286839054464305	No data	No data	No data	0	0	0	0	0	0.9791649999999997	No data	No data	-0.012666087423174044	-1	No data	-1	0	-1	-1
NF1	0.5273612232824937	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6037090559615403	0.6937578073765375	No data	No data	No data	No data	No data	No data	0.8122426052826877	No data	0.37874088691203994	No data	1	0	0	0	1	0.9225099999999997	No data	-0.7403199117484831	-0.9769015319440377	0	No data	-1	0	-1	-1
TERT	0.5204061388951156	0.733600100134586	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	No data	0.37986559845300866	No data	No data	1	0	0	1	1	0	0	1	-0.5767236624379481	-0.796424287794761	0	No data	No data	No data	No data	No data
APC	0.5179127961692358	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.565713381110814	0.684209858059134	0.19453785523571876	No data	No data	No data	No data	No data	0.10803200344440134	No data	0.3047557088427057	No data	1	0	1	1	0	0.5321849999999998	No data	-0.8704908990623277	-0.9708083217993274	0	No data	-1	0	0.5	-1
SETD2	0.5133081266353925	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	0.6914314902290779	No data	No data	No data	No data	No data	No data	0.8971442563674537	No data	No data	No data	0	0	1	1	0	0.0386099999999999	1	-0.9694429123000552	-0.8994830921602622	0	No data	-1	0	-1	-1
SLC34A2	0.5126457977826889	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7725787219647684	0.21984106914611048	No data	No data	No data	No data	No data	No data	0.7075989592064401	No data	No data	0.5	1	0	1	1	0	0	No data	0.09233314947600668	-0.8321097298909569	0	No data	-1	0	1	0
BRCA2	0.5041495753569576	0.659683397514057	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	0.6037090559615403	No data	No data	No data	No data	No data	No data	No data	0.14321133731388472	No data	No data	No data	0	0	0	0	0	0	No data	-0.2824048538334253	-0.9475102956278109	0	No data	-1	No data	0.5	0.5
